,Agency,Mode,TOS,Active,Reporter Type,HQ City,HQ State,UZA,UZA Name,UZA Area SQ Miles,UZA Population,Service Area SQ Miles,Service Area Population,Most Recent Report Year,FY End Month,FY End Year,Passenger Miles FY,Unlinked Passenger Trips FY,Average Trip Length FY,Fares FY,Operating Expenses FY,Average Cost per Trip FY,Average Fares per Trip FY
319,New Jersey Transit Corporation,DR,PT,Active,Full Reporter,Newark,NJ,1,"New York-Newark, NY-NJ-CT",3450.0,18351295.0,5325.0,10594013.0,2017.0,6.0,2017.0,9898392.0,1610072.0,6.1478,3463966.0,97067992.0,60.288,2.1514
320,New Jersey Transit Corporation,LR,DO,Active,Full Reporter,Newark,NJ,1,"New York-Newark, NY-NJ-CT",3450.0,18351295.0,5325.0,10594013.0,2017.0,6.0,2017.0,12379497.0,5531921.0,2.2378,5614088.0,19726085.0,3.5659,1.0149
321,New Jersey Transit Corporation,LR,PT,Active,Full Reporter,Newark,NJ,1,"New York-Newark, NY-NJ-CT",3450.0,18351295.0,5325.0,10594013.0,2017.0,6.0,2017.0,60426164.0,15476385.0,3.9044,15059691.0,92685527.0,5.9888,0.9731
322,New Jersey Transit Corporation,MB,DO,Active,Full Reporter,Newark,NJ,1,"New York-Newark, NY-NJ-CT",3450.0,18351295.0,5325.0,10594013.0,2017.0,6.0,2017.0,1113473813.0,143878120.0,7.739,376157230.0,806911681.0,5.6083,2.6144
323,New Jersey Transit Corporation,MB,PT,Active,Full Reporter,Newark,NJ,1,"New York-Newark, NY-NJ-CT",3450.0,18351295.0,5325.0,10594013.0,2017.0,6.0,2017.0,42682026.0,10574069.0,4.0365,11072354.0,61130212.0,5.7811,1.0471
324,New Jersey Transit Corporation,VP,PT,Active,Full Reporter,Newark,NJ,1,"New York-Newark, NY-NJ-CT",3450.0,18351295.0,5325.0,10594013.0,2017.0,6.0,2017.0,27415332.0,727002.0,37.7101,2138061.0,10043909.0,13.8155,2.9409
325,New Jersey Transit Corporation,YR,PT,Active,Full Reporter,Newark,NJ,1,"New York-Newark, NY-NJ-CT",3450.0,18351295.0,5325.0,10594013.0,2017.0,6.0,2017.0,39719834.0,2713160.0,14.6397,2299664.0,30796596.0,11.3508,0.8476
326,New York City Department of Transportation,CB,PT,Active,Full Reporter,New York,NY,1,"New York-Newark, NY-NJ-CT",3450.0,18351295.0,372.0,8537673.0,2017.0,6.0,2017.0,17622377.0,554655.0,31.7718,2901948.0,6185131.0,11.1513,5.232
327,New York City Department of Transportation,FB,DO,Active,Full Reporter,New York,NY,1,"New York-Newark, NY-NJ-CT",3450.0,18351295.0,372.0,8537673.0,2017.0,6.0,2017.0,124393646.0,23921855.0,5.2,0.0,127377646.0,5.3247,0.0
329,Transport of Rockland,DR,DO,Active,Full Reporter,Pomona,NY,1,"New York-Newark, NY-NJ-CT",3450.0,18351295.0,176.0,326780.0,2017.0,12.0,2017.0,499565.0,56344.0,8.8663,114675.0,3014489.0,53.5015,2.0353
330,Transport of Rockland,MB,PT,Active,Full Reporter,Pomona,NY,1,"New York-Newark, NY-NJ-CT",3450.0,18351295.0,176.0,326780.0,2017.0,12.0,2017.0,18003634.0,2362533.0,7.6205,3463038.0,15745546.0,6.6647,1.4658
334,Putnam County Transit,DR,PT,Active,Full Reporter,Carmel,NY,1,"New York-Newark, NY-NJ-CT",3450.0,18351295.0,98.0,59284.0,2017.0,12.0,2017.0,172101.0,16463.0,10.4538,51446.0,489649.0,29.7424,3.1249
335,Putnam County Transit,MB,PT,Active,Full Reporter,Carmel,NY,1,"New York-Newark, NY-NJ-CT",3450.0,18351295.0,98.0,59284.0,2017.0,12.0,2017.0,919317.0,116468.0,7.8933,183068.0,1855604.0,15.9323,1.5718
337,Port Authority Trans-Hudson Corporation,FB,PT,Active,Full Reporter,Jersey City,NJ,1,"New York-Newark, NY-NJ-CT",3450.0,18351295.0,226.0,3164655.0,2017.0,12.0,2017.0,3284365.0,1268449.0,2.5893,8111983.0,7153603.0,5.6396,6.3952
338,Port Authority Trans-Hudson Corporation,HR,DO,Active,Full Reporter,Jersey City,NJ,1,"New York-Newark, NY-NJ-CT",3450.0,18351295.0,226.0,3164655.0,2017.0,12.0,2017.0,390795181.0,92930412.0,4.2052,191167260.0,423381922.0,4.5559,2.0571
339,"Staten Island Rapid Transit Operating Authority, dba: MTA Staten Island Railway",HR,DO,Active,Full Reporter,Staten Island,NY,1,"New York-Newark, NY-NJ-CT",3450.0,18351295.0,59.0,476015.0,2017.0,12.0,2017.0,51461325.0,8251126.0,6.2369,8766939.0,70519413.0,8.5466,1.0625
340,MTA Long Island Rail Road,CR,DO,Active,Full Reporter,Jamaica,NY,1,"New York-Newark, NY-NJ-CT",3450.0,18351295.0,2967.0,11485165.0,2017.0,12.0,2017.0,2996872220.0,103630405.0,28.9189,732987655.0,1361952328.0,13.1424,7.0731
341,"Regional Transit Service, Inc. and Lift Line, Inc.",DR,DO,Active,Full Reporter,Rochester,NY,60,"Rochester, NY",324.0,720572.0,293.0,694394.0,2017.0,3.0,2017.0,1495005.0,198640.0,7.5262,371202.0,7490093.0,37.7069,1.8687
342,"Regional Transit Service, Inc. and Lift Line, Inc.",MB,DO,Active,Full Reporter,Rochester,NY,60,"Rochester, NY",324.0,720572.0,293.0,694394.0,2017.0,3.0,2017.0,54325977.0,15774702.0,3.4439,22806839.0,69661000.0,4.416,1.4458
345,"Centro of Cayuga, Inc.",MB,DO,Inactive,Full Reporter,Syracuse,NY,90,"Syracuse, NY",195.0,412317.0,74.0,57608.0,2015.0,3.0,2015.0,4847436.0,409648.0,11.8332,415198.0,3402036.0,8.3048,1.0135
346,"Liberty Lines Express, Inc.",MB,DO,Inactive,Full Reporter,Yonkers,NY,1,"New York-Newark, NY-NJ-CT",3353.0,17799861.0,42.0,1332650.0,2004.0,12.0,2004.0,29175578.0,2644197.0,11.0338,7733213.0,19921688.0,7.5341,2.9246
350,"Academy Lines, Inc.",CB,DO,Active,Full Reporter,Hoboken,NJ,1,"New York-Newark, NY-NJ-CT",3450.0,18351295.0,468.0,1455245.0,2017.0,12.0,2017.0,162048031.0,3381370.0,47.9238,37051456.0,38651587.0,11.4307,10.9575
352,"Hudson Transit Lines, Inc.",CB,DO,Active,Full Reporter,Mahwah,NJ,1,"New York-Newark, NY-NJ-CT",3450.0,18351295.0,90.0,187257.0,2017.0,12.0,2017.0,199921458.0,4391709.0,45.5225,52302339.0,57711165.0,13.1409,11.9093
354,Suburban Transit Corporation,CB,DO,Active,Full Reporter,New Brunswick,NJ,1,"New York-Newark, NY-NJ-CT",3450.0,18351295.0,202.0,514162.0,2017.0,12.0,2017.0,102391990.0,2712235.0,37.7519,27239992.0,30048639.0,11.0789,10.0434
356,New Jersey Transit Corporation-45,MB,DO,Inactive,Full Reporter,Newark,NJ,1,"New York-Newark, NY-NJ-CT",3450.0,18351295.0,2898.0,5443000.0,2014.0,12.0,2014.0,12164428.0,5661844.0,2.1485,14728565.0,16806417.0,2.9684,2.6014
357,Monsey New Square Trails Corporation,CB,DO,Active,Full Reporter,Spring Valley,NY,1,"New York-Newark, NY-NJ-CT",3450.0,18351295.0,176.0,286573.0,2017.0,12.0,2017.0,25127727.0,628822.0,39.96,3786433.0,5184821.0,8.2453,6.0215
359,Queens Surface Corporation,MB,DO,Inactive,Full Reporter,Flushing,NY,1,"New York-Newark, NY-NJ-CT",3353.0,17799861.0,112.0,1952000.0,2005.0,12.0,2005.0,12572592.0,4052718.0,3.1023,4609277.0,15947773.0,3.9351,1.1373
360,Monroe Bus Corporation,CB,DO,Active,Full Reporter,Brooklyn,NY,89,"Poughkeepsie-Newburgh, NY-NJ",327.0,423566.0,265.0,351982.0,2017.0,12.0,2017.0,17966636.0,309993.0,57.9582,2626182.0,3233996.0,10.4325,8.4717
362,Tompkins Consolidated Area Transit,DR,PT,Active,Full Reporter,Ithaca,NY,473,"Ithaca, NY",25.0,53661.0,476.0,103617.0,2017.0,12.0,2017.0,487768.0,53315.0,9.1488,63693.0,1197270.0,22.4565,1.1947
363,Tompkins Consolidated Area Transit,MB,DO,Active,Full Reporter,Ithaca,NY,473,"Ithaca, NY",25.0,53661.0,476.0,103617.0,2017.0,12.0,2017.0,10085839.0,3986498.0,2.53,4439596.0,12874864.0,3.2296,1.1137
369,"Rockland Coaches, Inc.",CB,DO,Active,Full Reporter,Westwood,NJ,1,"New York-Newark, NY-NJ-CT",3450.0,18351295.0,2898.0,1246231.0,2017.0,12.0,2017.0,49939262.0,2193220.0,22.7698,16116732.0,19826522.0,9.0399,7.3484
373,Cumberland County Office on Aging,DR,DO,Inactive,Full Reporter,Bridgeton,NJ,290,"Vineland, NJ",62.0,88724.0,489.0,146438.0,2007.0,12.0,2007.0,631920.0,123160.0,5.1309,20037.0,2477017.0,20.1122,0.1627
379,DeCamp Bus Lines,CB,DO,Active,Full Reporter,Montclair,NJ,1,"New York-Newark, NY-NJ-CT",3450.0,18351295.0,74.0,892714.0,2017.0,12.0,2017.0,31766511.0,1938649.0,16.3859,13758566.0,17195681.0,8.8699,7.097
381,Lafeyette-Greenville IBOA,MB,DO,Inactive,Full Reporter,Jersey City,NJ,1,"New York-Newark, NY-NJ-CT",3353.0,17799861.0,2898.0,5443000.0,2003.0,12.0,2003.0,3232392.0,564026.0,5.7309,900418.0,887161.0,1.5729,1.5964
382,"Lakeland Bus Lines, Inc.",CB,DO,Active,Full Reporter,Dover,NJ,1,"New York-Newark, NY-NJ-CT",3450.0,18351295.0,250.0,527906.0,2017.0,12.0,2017.0,57486017.0,1693823.0,33.9386,16451076.0,19294284.0,11.391,9.7124
384,Leisure Line,MB,DO,Inactive,Full Reporter,Paramus,NJ,1,"New York-Newark, NY-NJ-CT",3353.0,17799861.0,2898.0,5443000.0,2004.0,12.0,2004.0,21479936.0,420352.0,51.0999,1763400.0,1654913.0,3.937,4.1951
387,"Orange-Newark-Elizabeth, Inc.",MB,DO,Active,Full Reporter,Elizabeth,NJ,1,"New York-Newark, NY-NJ-CT",3450.0,18351295.0,42.0,573383.0,2017.0,12.0,2017.0,18022324.0,7309929.0,2.4655,13369646.0,13376816.0,1.83,1.829
388,"South Orange Avenue IBOA, c/o: NJ Transit, Carrier Admin.",MB,DO,Inactive,Full Reporter,Newark,NJ,1,"New York-Newark, NY-NJ-CT",3353.0,17799861.0,2898.0,5443.0,2002.0,12.0,2002.0,11395096.0,3331981.0,3.4199,3345277.0,3325500.0,0.9981,1.004
389,Trans-Hudson Express,MB,DO,Inactive,Full Reporter,Elizabeth,NJ,1,"New York-Newark, NY-NJ-CT",3450.0,18351295.0,2898.0,5443000.0,2011.0,12.0,2011.0,30729225.0,3339251.0,9.2024,5789318.0,6497162.0,1.9457,1.7337
390,"Trans-Bridge Lines, Inc.",CB,DO,Active,Full Reporter,Bethlehem,PA,1,"New York-Newark, NY-NJ-CT",3450.0,18351295.0,353.0,194009.0,2017.0,12.0,2017.0,79838700.0,1114680.0,71.6248,20874549.0,18183418.0,16.3127,18.7269
392,"Vanpool of New Jersey, Inc.",VP,DO,Inactive,Full Reporter,Newark,NJ,1,"New York City, Newark, NY-NJ",2967.0,16044012.0,2898.0,5443.0,2001.0,12.0,2002.0,17588404.0,439924.0,39.9806,1099400.0,740193.0,1.6825,2.4991
393,"Private One of New York, LLC, dba: New York Airport Service",MB,PT,Inactive,Full Reporter,Brooklyn,NY,1,"New York-Newark, NY-NJ-CT",3450.0,18351295.0,2898.0,5443000.0,2011.0,12.0,2011.0,2577928.0,150399.0,17.1406,1524938.0,1516817.0,10.0853,10.1393
395,"Centro of Oswego, Inc.",MB,DO,Inactive,Full Reporter,Syracuse,NY,90,"Syracuse, NY",195.0,412317.0,92.0,89591.0,2015.0,3.0,2015.0,6565259.0,614923.0,10.6766,756679.0,3557988.0,5.7861,1.2305
397,Private Transportation Corporation,MB,PT,Active,Full Reporter,Brooklyn,NY,1,"New York-Newark, NY-NJ-CT",3450.0,18351295.0,71.0,2465326.0,2017.0,12.0,2017.0,4945545.0,817945.0,6.0463,1117574.0,1117574.0,1.3663,1.3663
398,"Adirondack Transit Lines, Inc,",CB,DO,Active,Full Reporter,Hurley,NY,1,"New York-Newark, NY-NJ-CT",3450.0,18351295.0,10702.0,9428015.0,2017.0,12.0,2017.0,41243072.0,632393.0,65.2175,11672141.0,16593784.0,26.2397,18.4571
400,Ulster County Area Transit,DR,DO,Active,Full Reporter,Kingston,NY,89,"Poughkeepsie-Newburgh, NY-NJ",327.0,423566.0,1124.0,181670.0,2017.0,12.0,2017.0,92582.0,9955.0,9.3001,30395.0,640733.0,64.3629,3.0532
401,Ulster County Area Transit,MB,DO,Active,Full Reporter,Kingston,NY,89,"Poughkeepsie-Newburgh, NY-NJ",327.0,423566.0,1124.0,181670.0,2017.0,12.0,2017.0,3639455.0,370786.0,9.8155,415729.0,4362073.0,11.7644,1.1212
404,Atlantic Express,MB,DO,Inactive,Full Reporter,Staten Island,NY,1,"New York-Newark, NY-NJ-CT",3353.0,17799861.0,840.0,459737.0,2006.0,6.0,2006.0,3870138.0,693076.0,5.584,2790925.0,3635278.0,5.2451,4.0269
407,"Centro of Oneida, Inc.",DR,DO,Inactive,Full Reporter,Syracuse,NY,268,"Utica, NY",62.0,117328.0,73.0,154159.0,2015.0,3.0,2015.0,107485.0,29013.0,3.7047,65624.0,1556806.0,53.6589,2.2619
408,"Centro of Oneida, Inc.",MB,DO,Inactive,Full Reporter,Syracuse,NY,268,"Utica, NY",62.0,117328.0,73.0,154159.0,2015.0,3.0,2015.0,4494790.0,1285643.0,3.4961,1159821.0,8821910.0,6.8619,0.9021
410,MTA Bus Company,MB,DO,Active,Full Reporter,New York,NY,1,"New York-Newark, NY-NJ-CT",3450.0,18351295.0,244.0,7706403.0,2017.0,12.0,2017.0,347110002.0,122214328.0,2.8402,217164460.0,812671178.0,6.6496,1.7769
411,"BillyBey Ferry Company, LLC",FB,DO,Active,Full Reporter,New York,NY,1,"New York-Newark, NY-NJ-CT",3450.0,18351295.0,70.0,2131266.0,2017.0,12.0,2017.0,3136654.0,1794281.0,1.7481,10305236.0,9990389.0,5.5679,5.7434
412,Port Imperial Ferry Corporation dba NY Waterway,FB,DO,Active,Full Reporter,Weehawken,NJ,1,"New York-Newark, NY-NJ-CT",3450.0,18351295.0,776.0,3658455.0,2017.0,12.0,2017.0,19257505.0,4586083.0,4.1991,37740298.0,26307566.0,5.7364,8.2293
413,Port Imperial Ferry Corporation dba NY Waterway,MB,DO,Active,Full Reporter,Weehawken,NJ,1,"New York-Newark, NY-NJ-CT",3450.0,18351295.0,776.0,3658455.0,2017.0,12.0,2017.0,5416395.0,3098846.0,1.7479,1401048.0,10408383.0,3.3588,0.4521
414,Bergen County Community Transportation,DR,DO,Active,Full Reporter,Lodi,NJ,1,"New York-Newark, NY-NJ-CT",3450.0,18351295.0,247.0,905116.0,2017.0,12.0,2017.0,1797457.0,239432.0,7.5072,0.0,5289477.0,22.0918,0.0
415,Bergen County Community Transportation,MB,DO,Active,Full Reporter,Lodi,NJ,1,"New York-Newark, NY-NJ-CT",3450.0,18351295.0,247.0,905116.0,2017.0,12.0,2017.0,362207.0,30184.0,12.0,0.0,540570.0,17.9092,0.0
416,Cumberland Area Transit System,DR,DO,Active,Full Reporter,Bridgeton,NJ,310,"Vineland, NJ",62.0,95259.0,484.0,156898.0,2017.0,12.0,2017.0,482997.0,84734.0,5.7002,0.0,2135816.0,25.2061,0.0
419,Middlesex County Area Transit,DR,DO,Active,Full Reporter,New Brunswick,NJ,1,"New York-Newark, NY-NJ-CT",3450.0,18351295.0,310.0,805001.0,2017.0,12.0,2017.0,1119620.0,60000.0,18.6603,131472.0,3613822.0,60.2304,2.1912
421,Middlesex County Area Transit,MB,DO,Active,Full Reporter,New Brunswick,NJ,1,"New York-Newark, NY-NJ-CT",3450.0,18351295.0,310.0,805001.0,2017.0,12.0,2017.0,2779319.0,248764.0,11.1725,69529.0,1856331.0,7.4622,0.2795
427,County of Atlantic,DR,DO,Active,Full Reporter,Northfield,NJ,150,"Atlantic City, NJ",125.0,248402.0,567.0,274219.0,2017.0,12.0,2017.0,852721.0,110238.0,7.7353,0.0,3431625.0,31.1292,0.0
436,"Senior Citizens United Community Services of Camden County, Inc.",DR,DO,Active,Full Reporter,Audubon,NJ,5,"Philadelphia, PA-NJ-DE-MD",1981.0,5441567.0,222.0,508932.0,2017.0,12.0,2017.0,932788.0,167024.0,5.5848,11094.0,3766074.0,22.5481,0.0664
437,Nassau Inter County Express,DR,PT,Active,Full Reporter,Garden City,NY,1,"New York-Newark, NY-NJ-CT",3450.0,18351295.0,285.0,1339532.0,2017.0,12.0,2017.0,2771130.0,349203.0,7.9356,1212679.0,14560128.0,41.6953,3.4727
438,Nassau Inter County Express,MB,PT,Active,Full Reporter,Garden City,NY,1,"New York-Newark, NY-NJ-CT",3450.0,18351295.0,285.0,1339532.0,2017.0,12.0,2017.0,142962144.0,25244195.0,5.6632,43112212.0,108000534.0,4.2782,1.7078
439,Somerset County Transportation,DR,DO,Active,Full Reporter,Somerville,NJ,1,"New York-Newark, NY-NJ-CT",3450.0,18351295.0,305.0,324194.0,2017.0,12.0,2017.0,1545868.0,306255.0,5.0476,798218.0,5164030.0,16.8619,2.6064
440,Somerset County Transportation,MB,DO,Active,Full Reporter,Somerville,NJ,1,"New York-Newark, NY-NJ-CT",3450.0,18351295.0,305.0,324194.0,2017.0,12.0,2017.0,762761.0,70626.0,10.8,104158.0,1875332.0,26.553,1.4748
443,"Hampton Jitney, Inc.",CB,DO,Active,Full Reporter,Southampton,NY,1,"New York-Newark, NY-NJ-CT",3450.0,18351295.0,1215.0,9908805.0,2017.0,12.0,2017.0,74329400.0,809019.0,91.876,23484741.0,20781021.0,25.6867,29.0287
444,New York City Economic Development Corporation,FB,PT,Active,Full Reporter,New York,NY,1,"New York-Newark, NY-NJ-CT",3450.0,18351295.0,30.0,208835.0,2017.0,6.0,2017.0,7350053.0,1819118.0,4.0404,6398519.0,21209294.0,11.6591,3.5174
446,Kanawha Valley Regional Transportation Authority,DR,DO,Active,Full Reporter,Charleston,WV,214,"Charleston, WV",98.0,153199.0,902.0,191275.0,2017.0,6.0,2017.0,236774.0,21480.0,11.023,55525.0,896739.0,41.7476,2.585
447,Kanawha Valley Regional Transportation Authority,MB,DO,Active,Full Reporter,Charleston,WV,214,"Charleston, WV",98.0,153199.0,902.0,191275.0,2017.0,6.0,2017.0,8095494.0,1658206.0,4.8821,1845722.0,11168762.0,6.7354,1.1131
448,The Tri-State Transit Authority,DR,DO,Active,Full Reporter,Huntington,WV,178,"Huntington, WV-KY-OH",130.0,202637.0,92.0,144339.0,2017.0,6.0,2017.0,197241.0,35862.0,5.5,135365.0,821747.0,22.9141,3.7746
449,The Tri-State Transit Authority,MB,DO,Active,Full Reporter,Huntington,WV,178,"Huntington, WV-KY-OH",130.0,202637.0,92.0,144339.0,2017.0,6.0,2017.0,4780436.0,866021.0,5.52,970989.0,5637564.0,6.5097,1.1212
453,Greater Richmond Transit Company,DR,PT,Active,Full Reporter,Richmond,VA,45,"Richmond, VA",492.0,953556.0,227.0,449572.0,2017.0,6.0,2017.0,3128411.0,361787.0,8.6471,736227.0,6658813.0,18.4053,2.035
454,Greater Richmond Transit Company,MB,DO,Active,Full Reporter,Richmond,VA,45,"Richmond, VA",492.0,953556.0,227.0,449572.0,2017.0,6.0,2017.0,33667540.0,7945344.0,4.2374,7534918.0,37369854.0,4.7034,0.9483
457,Greater Richmond Transit Company,VP,PT,Active,Full Reporter,Richmond,VA,45,"Richmond, VA",492.0,953556.0,227.0,449572.0,2017.0,6.0,2017.0,30853716.0,380568.0,81.0728,1399887.0,2058659.0,5.4094,3.6784
458,Greater Roanoke Transit Company,CB,DO,Active,Full Reporter,Roanoke,VA,172,"Roanoke, VA",124.0,210111.0,43.0,97032.0,2017.0,6.0,2017.0,958781.0,19440.0,49.32,62796.0,289874.0,14.9112,3.2302
459,Greater Roanoke Transit Company,DR,PT,Active,Full Reporter,Roanoke,VA,172,"Roanoke, VA",124.0,210111.0,43.0,97032.0,2017.0,6.0,2017.0,697548.0,76875.0,9.0738,202845.0,1884130.0,24.509,2.6386
460,Greater Roanoke Transit Company,MB,DO,Active,Full Reporter,Roanoke,VA,172,"Roanoke, VA",124.0,210111.0,43.0,97032.0,2017.0,6.0,2017.0,12011212.0,2114650.0,5.68,1777929.0,7046791.0,3.3324,0.8408
461,Greater Lynchburg Transit Company,DR,DO,Active,Full Reporter,Lynchburg,VA,271,"Lynchburg, VA",89.0,116636.0,72.0,80846.0,2017.0,6.0,2017.0,171536.0,26184.0,6.5512,62463.0,769447.0,29.3862,2.3855
462,Greater Lynchburg Transit Company,MB,DO,Active,Full Reporter,Lynchburg,VA,271,"Lynchburg, VA",89.0,116636.0,72.0,80846.0,2017.0,6.0,2017.0,7177080.0,2253421.0,3.185,3015087.0,7265388.0,3.2242,1.338
465,Lehigh and Northampton Transportation Authority,DR,PT,Active,Full Reporter,Allentown,PA,61,"Allentown, PA-NJ",346.0,664651.0,230.0,485712.0,2017.0,6.0,2017.0,5648549.0,482546.0,11.7057,1172903.0,11460682.0,23.7504,2.4307
466,Lehigh and Northampton Transportation Authority,MB,DO,Active,Full Reporter,Allentown,PA,61,"Allentown, PA-NJ",346.0,664651.0,230.0,485712.0,2017.0,6.0,2017.0,24070136.0,4664755.0,5.16,4502765.0,23235384.0,4.9811,0.9653
468,Altoona Metro Transit,DR,DO,Active,Full Reporter,Altoona,PA,359,"Altoona, PA",37.0,79930.0,25.0,69608.0,2017.0,6.0,2017.0,1020.0,235.0,4.3404,716.0,13746.0,58.4936,3.0468
469,Altoona Metro Transit,DR,PT,Active,Full Reporter,Altoona,PA,359,"Altoona, PA",37.0,79930.0,25.0,69608.0,2017.0,6.0,2017.0,64417.0,12231.0,5.2667,37966.0,207173.0,16.9384,3.1041
470,Altoona Metro Transit,MB,DO,Active,Full Reporter,Altoona,PA,359,"Altoona, PA",37.0,79930.0,25.0,69608.0,2017.0,6.0,2017.0,1639667.0,557710.0,2.94,684311.0,4391083.0,7.8734,1.227
472,Cambria County Transit Authority,DR,DO,Active,Full Reporter,Johnstown,PA,400,"Johnstown, PA",39.0,69014.0,60.0,80508.0,2017.0,6.0,2017.0,821320.0,65267.0,12.584,1102959.0,1777475.0,27.2339,16.8992
474,Cambria County Transit Authority,IP,DO,Active,Full Reporter,Johnstown,PA,400,"Johnstown, PA",39.0,69014.0,60.0,80508.0,2017.0,6.0,2017.0,10818.0,63764.0,0.1697,104344.0,671963.0,10.5383,1.6364
475,Cambria County Transit Authority,MB,DO,Active,Full Reporter,Johnstown,PA,400,"Johnstown, PA",39.0,69014.0,60.0,80508.0,2017.0,6.0,2017.0,3627268.0,1069801.0,3.3906,809895.0,7973469.0,7.4532,0.7571
476,Erie Metropolitan Transit Authority,DR,DO,Active,Full Reporter,Erie,PA,183,"Erie, PA",82.0,196611.0,77.0,189872.0,2017.0,6.0,2017.0,1463784.0,196935.0,7.4328,3306632.0,4693572.0,23.8331,16.7905
477,Erie Metropolitan Transit Authority,MB,DO,Active,Full Reporter,Erie,PA,183,"Erie, PA",82.0,196611.0,77.0,189872.0,2017.0,6.0,2017.0,8931043.0,2717880.0,3.286,2947165.0,14785087.0,5.4399,1.0844
478,Cumberland Dauphin-Harrisburg Transit Authority,DR,DO,Active,Full Reporter,Harrisburg,PA,86,"Harrisburg, PA",260.0,444474.0,137.0,511009.0,2017.0,6.0,2017.0,1102277.0,119213.0,9.2463,130657.0,3204767.0,26.8827,1.096
479,Cumberland Dauphin-Harrisburg Transit Authority,DR,PT,Active,Full Reporter,Harrisburg,PA,86,"Harrisburg, PA",260.0,444474.0,137.0,511009.0,2017.0,6.0,2017.0,672124.0,88907.0,7.5599,77645.0,1617996.0,18.1987,0.8733
481,Cumberland Dauphin-Harrisburg Transit Authority,MB,DO,Active,Full Reporter,Harrisburg,PA,86,"Harrisburg, PA",260.0,444474.0,137.0,511009.0,2017.0,6.0,2017.0,11872180.0,2106551.0,5.6358,2709456.0,15690675.0,7.4485,1.2862
482,Cumberland Dauphin-Harrisburg Transit Authority,MB,PT,Active,Full Reporter,Harrisburg,PA,86,"Harrisburg, PA",260.0,444474.0,137.0,511009.0,2017.0,6.0,2017.0,68269.0,18605.0,3.6694,131842.0,227735.0,12.2405,7.0864
483,Luzerne County Transportation Authority,DR,DO,Active,Full Reporter,Kingston,PA,99,"Scranton, PA",171.0,381502.0,56.0,295020.0,2017.0,6.0,2017.0,1520624.0,168624.0,9.0178,735731.0,3581997.0,21.2425,4.3631
485,Luzerne County Transportation Authority,MB,DO,Active,Full Reporter,Kingston,PA,99,"Scranton, PA",171.0,381502.0,56.0,295020.0,2017.0,6.0,2017.0,5000246.0,1168297.0,4.2799,1189256.0,9707161.0,8.3088,1.0179
486,Red Rose Transit Authority,DR,PT,Inactive,Full Reporter,Lancaster,PA,91,"Lancaster, PA",248.0,402004.0,952.0,420920.0,2016.0,6.0,2016.0,3569355.0,296155.0,12.0523,286140.0,6343016.0,21.4179,0.9662
487,Red Rose Transit Authority,MB,DO,Inactive,Full Reporter,Lancaster,PA,91,"Lancaster, PA",248.0,402004.0,952.0,420920.0,2016.0,6.0,2016.0,8867481.0,1911095.0,4.64,2430687.0,9013283.0,4.7163,1.2719
488,Southeastern Pennsylvania Transportation Authority,CR,DO,Active,Full Reporter,Philadelphia,PA,5,"Philadelphia, PA-NJ-DE-MD",1981.0,5441567.0,839.0,3829571.0,2017.0,6.0,2017.0,426163583.0,33209489.0,12.8326,136979155.0,269646215.0,8.1196,4.1247
489,Southeastern Pennsylvania Transportation Authority,DR,PT,Active,Full Reporter,Philadelphia,PA,5,"Philadelphia, PA-NJ-DE-MD",1981.0,5441567.0,839.0,3829571.0,2017.0,6.0,2017.0,12173363.0,1704463.0,7.1421,5883824.0,63679395.0,37.3604,3.452
490,Southeastern Pennsylvania Transportation Authority,HR,DO,Active,Full Reporter,Philadelphia,PA,5,"Philadelphia, PA-NJ-DE-MD",1981.0,5441567.0,839.0,3829571.0,2017.0,6.0,2017.0,344859706.0,93879889.0,3.6734,101684198.0,202060773.0,2.1523,1.0831
492,Southeastern Pennsylvania Transportation Authority,MB,DO,Active,Full Reporter,Philadelphia,PA,5,"Philadelphia, PA-NJ-DE-MD",1981.0,5441567.0,839.0,3829571.0,2017.0,6.0,2017.0,531848827.0,163167788.0,3.2595,170604460.0,628361295.0,3.851,1.0456
493,Southeastern Pennsylvania Transportation Authority,MB,PT,Active,Full Reporter,Philadelphia,PA,5,"Philadelphia, PA-NJ-DE-MD",1981.0,5441567.0,839.0,3829571.0,2017.0,6.0,2017.0,395329.0,68277.0,5.7901,84576.0,1042658.0,15.271,1.2387
494,Southeastern Pennsylvania Transportation Authority,SR,DO,Active,Full Reporter,Philadelphia,PA,5,"Philadelphia, PA-NJ-DE-MD",1981.0,5441567.0,839.0,3829571.0,2017.0,6.0,2017.0,64152704.0,26549260.0,2.4164,25710304.0,72513107.0,2.7313,0.9684
495,Southeastern Pennsylvania Transportation Authority,TB,DO,Active,Full Reporter,Philadelphia,PA,5,"Philadelphia, PA-NJ-DE-MD",1981.0,5441567.0,839.0,3829571.0,2017.0,6.0,2017.0,12105313.0,6171031.0,1.9616,5906220.0,14589899.0,2.3643,0.9571
496,Port Authority of Allegheny County,DR,PT,Active,Full Reporter,Pittsburgh,PA,27,"Pittsburgh, PA",905.0,1733853.0,775.0,1415244.0,2017.0,6.0,2017.0,11791614.0,1486771.0,7.931,10816149.0,35216342.0,23.6865,7.2749
