,index,State,Automobiles,Buses,Trucks,Automobiles Per Capita,Motorcicles,Year
68,19,Kentucky,1606199.0,12166.0,7476,2742089.0,36599.408082914255,1996
69,20,Louisiana,1903241.0,20521.0,20949,3360220.0,36605.42994874935,1996
70,21,Maine,578024.0,2762.0,10853,967127.0,26684.460715538127,1996
71,22,Maryland,2570020.0,11362.0,21876,3697158.0,37823.50416692628,1996
72,23,Massachusetts,3543725.0,11320.0,34075,4736464.0,90838.57905157155,1996
73,24,Michigan,5090734.0,24604.0,73273,8001855.0,148647.52585396613,1996
74,25,Minnesota,2273431.0,14618.0,23184,3794754.0,115927.48590394777,1996
75,26,Mississippi,1267644.0,9748.0,17719,2185156.0,30161.462822082274,1996
76,27,Missouri,2576039.0,12379.0,16294,4387601.0,54080.47930409137,1996
77,28,Montana,437080.0,2789.0,15391,973961.0,20769.490330599565,1996
78,29,Nebraska,807246.0,6255.0,16176,1487573.0,18367.482234958927,1996
79,30,Nevada,619282.0,1708.0,13904,1069571.0,22013.38023644508,1996
80,31,New Hampshire  4/,736751.0,1832.0,10407,1130648.0,51890.63054277877,1996
81,32,New Jersey  4/,4397727.0,19432.0,95999,5872812.0,91350.54428185614,1996
82,33,New Mexico,772175.0,3477.0,20507,1496546.0,31333.44304476403,1996
83,34,New York  4/,7984694.0,44882.0,99884,10735486.0,134820.43523675355,1996
84,35,North Carolina,3508344.0,34957.0,55819,5819099.0,67353.47433956905,1996
85,36,North Dakota,338132.0,2267.0,8968,694613.0,16363.51918531744,1996
86,37,Ohio,6609252.0,33599.0,67003,9894351.0,219095.5879919612,1996
87,38,Oklahoma,1685876.0,15174.0,42629,3084354.0,58869.507452205486,1996
88,39,Oregon,1527945.0,12665.0,29322,2815980.0,60005.4690013375,1996
89,40,Pennsylvania  4/,5935633.0,34692.0,58972,8638209.0,177500.48881579732,1996
90,41,Rhode Island  4/,510951.0,1766.0,5601,699784.0,16966.51277840895,1996
91,42,South Carolina,1763547.0,15056.0,23767,2827122.0,39000.474152591174,1996
92,43,South Dakota,370349.0,2571.0,12241,713151.0,24704.49959790007,1996
93,44,Tennessee,2996632.0,17299.0,54825,4884132.0,78651.55916832185,1996
94,45,Texas,7579106.0,76169.0,236531,13710384.0,144484.38640637536,1996
95,46,Utah,811383.0,1214.0,14122,1478899.0,23000.400759012526,1996
96,47,Vermont,300955.0,1903.0,6568,509696.0,18256.505762298395,1996
97,48,Virginia,3637721.0,17417.0,34855,5629455.0,57188.53976697604,1996
98,49,Washington,2636630.0,7842.0,37605,4584820.0,103714.47331698397,1996
99,50,West Virginia,802120.0,3429.0,32827,1432205.0,15424.430090253123,1996
100,51,Wisconsin,2473218.0,12529.0,41391,4042034.0,168939.47672940494,1996
101,52,Wyoming,231480.0,2536.0,11160,550555.0,14902.471491483175,1996
102,2,Alabama,1905811.0,8576.0,25801,3669439.0,38544.44,1997
103,3,Alaska,224770.0,2078.0,7981,542398.0,13462.37,1997
104,4,Arizona,1852690.0,4486.0,17795,3143143.0,73896.4,1997
105,5,Arkansas,857314.0,5814.0,11001,1633830.0,14311.34,1997
106,6,California,15705806.0,44469.0,248550,24944976.0,441009.48,1997
107,7,Colorado,1919850.0,5721.0,24971,3522590.0,95096.49,1997
108,8,Connecticut  4/,1963185.0,9486.0,25527,2659518.0,48264.6,1997
109,9,Delaware,403797.0,2045.0,2713,613701.0,9911.54,1997
110,10,Dist. of Col.,196077.0,2622.0,6259,233670.0,1146.36,1997
111,11,Florida,7374840.0,42076.0,138786,10874031.0,203779.5,1997
112,12,Georgia,3688005.0,16499.0,58480,6242207.0,74643.49,1997
113,13,Hawaii,442889.0,3959.0,6093,692804.0,21226.37,1997
114,14,Idaho,494486.0,3643.0,17503,1081052.0,34935.4,1997
115,15,Illinois,5853560.0,16817.0,16237,8442822.0,181696.49,1997
116,16,Indiana,3247725.0,25408.0,38625,5345776.0,98001.55,1997
117,17,Iowa,1636347.0,8035.0,25454,2851383.0,131800.57,1997
118,18,Kansas,1137271.0,3813.0,17975,2152107.0,47750.44,1997
119,19,Kentucky,1633671.0,11812.0,7470,2780806.0,38656.41,1997
120,20,Louisiana,1930142.0,20585.0,21365,3411023.0,37574.44,1997
121,21,Maine,637418.0,2824.0,10952,1058599.0,28076.51,1997
122,22,Maryland,2628171.0,11567.0,22043,3786054.0,38591.51,1997
123,23,Massachusetts,3832386.0,11363.0,34910,5070432.0,88800.62,1997
124,24,Michigan,5110851.0,24771.0,73940,8023731.0,154335.52,1997
125,25,Minnesota,2317021.0,13817.0,21309,3927249.0,123624.49,1997
126,26,Mississippi,1262969.0,10081.0,18067,2233797.0,30856.46,1997
127,27,Missouri,2549791.0,12745.0,16726,4350544.0,55490.47,1997
128,28,Montana,455140.0,2820.0,16717,979700.0,21304.51,1997
129,29,Nebraska,811678.0,5497.0,17247,1506996.0,17816.48,1997
130,30,Nevada,659079.0,1748.0,13956,1145656.0,23325.39,1997
131,31,New Hampshire  4/,739132.0,1789.0,10825,1127387.0,47312.63,1997
132,32,New Jersey  4/,4268888.0,19327.0,98602,5816580.0,93662.52,1997
133,33,New Mexico,779596.0,3542.0,20799,1514499.0,31154.44,1997
134,34,New York  4/,8063496.0,46192.0,101015,10873248.0,134363.44,1997
135,35,North Carolina,3479993.0,29861.0,45899,5785533.0,69814.46,1997
136,36,North Dakota,336610.0,2283.0,8573,695106.0,16021.52,1997
137,37,Ohio,6700396.0,34444.0,68549,10107651.0,219424.6,1997
