,FuelCode,StationName,Address,City,State_ABRR,Location,ZIP,Latitude,Longitude
8924,LPG,Forest Preserve District of DuPage County,29 W 220 Mack Rd,West Chicago,IL,ILLINOIS,60185,41.842412100000004,-88.1999404
8925,LPG,AmeriGas,6820 Industrial Ave,El Paso,TX,TEXAS,79915,31.7736553,-106.39027920000001
8926,ELEC,FRED MEYER - Corporate Office - Portland OR,3800 SE 22nd Ave,Portland,OR,OREGON,97202,45.495841999999996,-122.641314
8927,ELEC,GREENPARKCHARGE,One Merrimac Street,Boston,MA,MASSACHUSETTS,2114,42.3632591,-71.0598464
8928,ELEC,Colton City Hall,650 N La Cadena,Colton,CA,CALIFORNIA,92324,34.0717337,-117.3227394
8929,LPG,Goodrich Gas Inc,322 Saint Robert Outer Rd,St. Robert,MO,MISSOURI,65583,37.825731,-92.130392
8930,ELEC,DTE Energy - Pontiac Service Center,1970 Orchard Lake Rd,Bloomfield Township,MI,MICHIGAN,48320,42.615654,-83.324374
8931,ELEC,MC FLEET,100 Maryland Ave,Rockville,MD,MARYLAND,20850,39.0821505,-77.1508045
8932,LPG,Frontier Hardware,2137 Huntington Dr,Duarte,CA,CALIFORNIA,91010,34.139857,-117.95885590000002
8933,ELEC,University of Pittsburgh Medical Center - St Margaret's Parking Lot,815 Freeport Rd,Pittsburgh,PA,PENNSYLVANIA,15215,40.489278999999996,-79.895965
8934,CNG,City of Los Angeles - East Valley Station,11050 Pendleton St,Sun Valley,CA,CALIFORNIA,91352,34.2387439,-118.370919
8935,ELEC,Albany Ford Subaru,929 San Pablo Ave,Albany,CA,CALIFORNIA,94706,37.8935461,-122.3001935
8936,LPG,Harris Propane,350 Kraft St,Clarksville,TN,TENNESSEE,37040,36.542196999999994,-87.352662
8937,ELEC,Henderson Square,314 S Henderson Rd,King of Prussia,PA,PENNSYLVANIA,19406,40.0911599,-75.35897299999999
8938,ELEC,Harrisburg Airport,Two Terminal Dr,Middletown,PA,PENNSYLVANIA,17057,40.194269,-76.757642
8939,CNG,Waste Management - Collier County,4500 Exchange Ave,Naples,FL,FLORIDA,34104,26.157920999999998,-81.7541619
8940,ELEC,Peaches Bed & Breakfast,29 Gay Ave SE,Grand Rapids,MI,MICHIGAN,49503,42.962069,-85.65901099999999
8941,ELEC,Metro Nissan of Redlands,1665 Industrial Park Ave,Redlands,CA,CALIFORNIA,92374,34.065053000000006,-117.2101186
8942,LPG,Hicksgas,5768 E State Rd 10,De Motte,IN,INDIANA,46310,41.145114899999996,-87.280238
8943,ELEC,NLGROUP CHARGE,3 National Life Dr,Montpelier,VT,VERMONT,5602,44.257026,-72.581075
8944,ELEC,NAVFAC,199 Integrity St,Millington,TN,TENNESSEE,38053,35.32646870000001,-89.8704309
8945,LPG,Midland Services Inc,501 Highway 51,Hurley,WI,WISCONSIN,54534,46.481528000000004,-90.190275
8946,LPG,Hicksgas,200 E Grand Ave,Lake Villa,IL,ILLINOIS,60046,42.416261,-88.078478
8947,ELEC,TISHMAN SPEYER,44 Canal Center Plaza,Alexandria,VA,VIRGINIA,22314,38.814232000000004,-77.038772
8948,ELEC,CarMax Nissan - White Marsh,10201 Philadelphia Rd,White Marsh,MD,MARYLAND,21162,39.367851,-76.44682399999999
8949,ELEC,Omni Mount Washington Resort,310 Mount Washington Hotel Rd,Bretton Woods,NH,NEW HAMPSHIRE,3575,44.2571565,-71.4393997
8950,ELEC,Sunnyvale CalTrain Station,W Evelyn Ave & S Murphy Ave,Sunnyvale,CA,CALIFORNIA,94086,37.37793,-122.03
8951,ELEC,City of Franklin - 4th Ave,115 4th Avenue South,Franklin,TN,TENNESSEE,37064,35.9241797,-86.8699657
8952,ELEC,Bergstrom Nissan of Appleton,3027 Victory Ln,Appleton,WI,WISCONSIN,54913,44.291988,-88.470562
8953,LPG,U-Haul,3699 Alcoa Hwy,Alcoa,TN,TENNESSEE,37701,35.840283899999996,-83.969858
8954,ELEC,LOT V,1051-1099 North Ln,Burlingame,CA,CALIFORNIA,94010,37.580050899999996,-122.3453136
8955,ELEC,CCSF - SFO,San Francisco Internatinal Airport Domestic Garage,San Francisco,CA,CALIFORNIA,94080,37.615432299999995,-122.38660459999998
8956,ELEC,BMW OF PEABODY,219 Andover St,Peabody,MA,MASSACHUSETTS,1960,42.5456337,-70.9433372
8957,ELEC,PGE - 2WTC P1,25 SW Salmon Street,Portland,OR,OREGON,97204,45.515948,-122.674034
8958,ELEC,Fairview Ford,292 N G St,San Bernardino,CA,CALIFORNIA,92410,34.104022,-117.30066799999999
8959,ELEC,BMW EL PASO,6318 Montana Ave,El Paso,TX,TEXAS,79925,31.787506699999998,-106.4068149
8960,LPG,Thompson Gas,2521 Highway 16 W,Newnan,GA,GEORGIA,30263,33.4407761,-84.8765198
8961,ELEC,Suburban Plaza Shopping Center,2559 N Decatur Rd,Decatur,GA,GEORGIA,30033,33.791385,-84.287719
8962,ELEC,PUBLIC STATIONS,1536-1606 N Speer Blvd,Denver,CO,COLORADO,80204,39.7497886,-105.0038757
8963,ELEC,Shults Nissan,311 Fluvanna Ave,Jamestown,NY,NEW YORK,14701,42.115119,-79.254203
8964,ELEC,Golden Gate Ferry Terminal,101 E Sir Francis Drake Blvd,Larkspur,CA,CALIFORNIA,94939,37.94495,-122.5096
8965,ELEC,"Walgreens - Renton, WA #12497",4105 NE 4th St,Renton,WA,WASHINGTON,98059,47.4884945,-122.1642138
8966,ELEC,Niagara Nissan,6069 S Transit Rd,Lockport,NY,NEW YORK,14094,43.128609000000004,-78.695729
8967,CNG,Waste Management - Carmel Marina Corporation,11240 Commercial Pkwy,Castroville,CA,CALIFORNIA,95012,36.7530381,-121.73907120000001
8968,ELEC,CITYOFMANASSAS,8500 Public Works Dr,Manassas,VA,VIRGINIA,20110,38.770961799999995,-77.46036529999999
8969,ELEC,Lihue Airport,3901 Mokulele Loop,Lihue,HI,HAWAII,96766,21.978007,-159.349152
8970,ELEC,JNS,3630 N Southport Ave,Chicago,IL,ILLINOIS,60613,41.9481843,-87.66417750000001
8971,ELEC,Salt Lake County Government Center,2001 S State St,Salt Lake City,UT,UTAH,84190,40.726741,-111.88751440000001
8972,ELEC,MLIC-BLUE OAKS,1430 Blue Oaks Blvd,Roseville,CA,CALIFORNIA,95747,38.7962852,-121.316827
8973,ELEC,Potomac Mills - Tesla,2700 Potomac Mills Cir,Woodbridge,VA,VIRGINIA,22192,38.6434359,-77.2952552
8974,CNG,Broward County,1 University Dr,Plantation,FL,FLORIDA,33324,26.1216186,-80.2537595
8975,LPG,AmeriGas,1805 N Falls Blvd,Wynne,AR,ARKANSAS,72396,35.243313,-90.783301
8976,ELEC,GVSU CAMPUS,401 Fulton Street West,Grand Rapids,MI,MICHIGAN,49504,42.963368100000004,-85.6794297
8977,ELEC,CARCHARGING,814 Cleveland St,Clearwater,FL,FLORIDA,33755,27.9660797,-82.7952652
8978,ELEC,NAVY PIER,600 E Grand Ave,Chicago,IL,ILLINOIS,60611,41.891980600000004,-87.60959759999999
8979,ELEC,Cracker Barrel 9 Athens (Sweetwater),110 Burkett L. Witt Blvd,Athens,TN,TENNESSEE,37303,35.467905,-84.649948
8980,ELEC,Sun Metro Westside,7535 Remcon Circle,El Paso,TX,TEXAS,79912,31.834882,-106.56454099999999
8981,CNG,NGV Solutions LLC,5495 Lakeland Dr,Flowood,MS,MISSISSIPPI,39232,32.350721,-90.030272
8982,ELEC,59er Diner,15361 US 2,Leavenworth,WA,WASHINGTON,98826,47.7572115,-120.740029
8983,ELEC,MOMS ORGANICMKT,Post Dr,Herndon,VA,VIRGINIA,20170,38.97007979999999,-77.3749611
8984,ELEC,PRAIRIE STATE,299 Coolidge St N,Chicago Heights,IL,ILLINOIS,60411,41.5261635,-87.6405634
8985,ELEC,CARCHARGING,1200 Western Ave,Seattle,WA,WASHINGTON,98101,47.6059837,-122.33874509999998
8986,ELEC,City of Huntsville,301 Fountain Cir,Huntsville,AL,ALABAMA,35801,34.728304,-86.5855804
8987,ELEC,CCF,3001 SW College Rd,Ocala,FL,FLORIDA,34474,29.164413399999997,-82.1748928
8988,ELEC,Southface,241 Pine St NE,Atlanta,GA,GEORGIA,30308,33.767355200000004,-84.3805878
8989,CNG,GAIN Clean Fuel,780 US Highway 80,Sunnyvale,TX,TEXAS,75182,32.77677,-96.519789
8990,ELEC,UGA,230-270 S Thomas St,Athens,GA,GEORGIA,30602,33.9561253,-83.37265359999999
8991,ELEC,COUNTY OF SB,2115 Centerpointe Pkwy,Santa Maria,CA,CALIFORNIA,93455,34.9226032,-120.4299882
8992,ELEC,Palm's of Pasadena Hospital,1501 Pasadena Ave S,St. Petersburg,FL,FLORIDA,33707,27.777055999999998,-82.635389
8993,LPG,Fred Frias Union 76,226 N 2nd St,Patterson,CA,CALIFORNIA,95363,37.4752144,-121.13145859999999
8994,ELEC,Lima Mall,2400 Elida Road,Lima,OH,OHIO,45805,40.7627596,-84.14904279999999
8995,ELEC,Stupak Community Center,251 West Boston Avenue,Las Vegas,NV,NEVADA,89102,36.147565,-115.1607622
8996,ELEC,Haldeman Nissan,951 US Highway 33,Hamilton Square,NJ,NEW JERSEY,8690,40.228716999999996,-74.67269300000001
8997,ELEC,International Brotherhood of Electrical Workers - IBEW,2407 Beich Rd,Bloomington,IL,ILLINOIS,61705,40.443058799999996,-89.0233408
8998,ELEC,Kahului Airport,1 Kahului Airport Rd,Kahului,HI,HAWAII,96732,20.8933987,-156.43760269999999
8999,CNG,Marion Gas,130 Highway 156,South Pittsburg,TN,TENNESSEE,37380,35.0137972,-85.70440649999999
9000,ELEC,Dick Shirley Automotive,2616 Alamance Rd,Burlington,NC,NORTH CAROLINA,27215,36.068078,-79.466328
9001,LPG,Ferrellgas,3154 Ranger Hwy,Weatherford,TX,TEXAS,76088,32.729222,-97.87611690000001
9002,ELEC,"Walgreens - Bremerton, WA #5912",3333 Wheaton Way,Bremerton,WA,WASHINGTON,98310,47.594474299999995,-122.6294686
