,Unique ID,FacilityName,Rank_TRI_14,Rank_GHG_14,Latitude,Longitude,LocationAddress,City,Location,ZIP,County,FIPScode,IndustryType,GHG_Direct_Emissions_14_in_metric_tons,GHG_Direct_Emissions_13_in_metric_tons,GHG_Direct_Emissions_12_in_metric_tons,GHG_Direct_Emissions_11_in_metric_tons,GHG_Direct_Emissions_10_in_metric_tons
1067,1.10E+11,GULF POWER CO PLANT SCHOLZ,1285.0,3891.0,30.669338,-84.886808,1460 GULF POWER RD,SNEADS,FLORIDA,32460,JACKSON,12063.0,Power Plants,51974,18987,8731,105232,122299
1073,1.10E+11,FPL FORT MYERS,8795.0,197.0,26.6967,-81.7831,10650 SR 80,FORT MYERS,FLORIDA,33905,LEE,12071.0,Power Plants,3536329,3218781,4283694,3203643,3728312
1080,1.10E+11,FLORIDA POWER & LIGHT CO FPL MANATEE POWER PLANT,1085.0,222.0,27.605559000000003,-82.346257,19050 STATE RD 62,PARRISH,FLORIDA,34219,MANATEE,12081.0,Power Plants,3180624,3201844,3810551,3853501,4364426
1081,1.10E+11,TROPICANA MANUFACTURING CO INC,1300.0,2134.0,27.487023999999998,-82.55116600000001,1001 13TH AVE E,BRADENTON,FLORIDA,342082656,MANATEE,12081.0,"Other,Waste",126976,129961,131221,151013,135632
1086,1.10E+11,FPL-MARTIN PLANT,1447.0,160.0,27.0536,-80.5628,21900 SW WARFIELD BLVD,INDIANTOWN,FLORIDA,34956,MARTIN,12085.0,Power Plants,4506029,5007515,6468266,6204775,7023918
1087,1.10E+11,INDIANTOWN COGENERATION LP,2676.0,786.0,27.039167,-80.51472199999999,13303 SOUTHWEST SILVER FOX LANE,INDIANTOWN,FLORIDA,34956,MARTIN,12085.0,Power Plants,727343,760417,992323,1182178,1517864
1089,1.10E+11,TARMAC PENNSUCO COMPLEX,1738.0,615.0,25.873889000000002,-80.372222,11000 NORTHWEST 121 WAY,MEDLEY,FLORIDA,33178,MIAMI-DADE,12086.0,Minerals,1009040,918278,779546,672463,577041
1090,1.10E+11,FPL TURKEY POINT NUCLEAR GENERATING STATION,2243.0,290.0,25.435833,-80.33111099999999,9700 SW 344 ST,HOMESTEAD,FLORIDA,33035,MIAMI-DADE,12086.0,Power Plants,2514778,2842244,2931593,2564406,3017432
1091,1.10E+11,CEMEX MIAMI,6902.0,816.0,25.786463,-80.421113,1200 NW 137 AVE,MIAMI,FLORIDA,33182,MIAMI-DADE,12086.0,Minerals,700173,678911,591077,400492,440288
1097,1.10E+11,KEYS ENERGY SERVICES,10584.0,6928.0,24.56471,-81.73331,6900 FRONT ST EXTENDED,KEY WEST,FLORIDA,33040,MONROE,12087.0,Power Plants,3485,1974,1495,5292,9561
1098,1.10E+11,"ROCKTENN CP, LLC - FERNANDINA BEACH MILL (FORMERLY SMURFIT-STONE)",136.0,937.0,30.681389000000003,-81.457222,N 8TH ST,FERNANDINA BEACH,FLORIDA,32034,NASSAU,12089.0,Pulp and Paper,561705,581526,602950,617589,785171
1099,1.10E+11,RAYONIER PERFORMANCE FIBERS LLC FERNANDINA PLANT,432.0,5592.0,30.662356,-81.47105,10 GUM ST,FERNANDINA BEACH,FLORIDA,32034,NASSAU,12089.0,Pulp and Paper,27699,27707,34020,46584,26331
1102,1.10E+11,Curtis H. Stanton Energy Center,172.0,121.0,28.482471999999998,-81.165995,5100 S ALAFAYA TRAIL,ORLANDO,FLORIDA,32831,ORANGE,12095.0,Power Plants,5924946,4818545,4339313,5554908,6529997
1113,1.10E+11,FLORIDA POWER & LIGHT-WEST COUNTY ENERGY CENTER PLANT,609.0,88.0,26.685274,-80.36764000000001,20505 STATE RD 80,LOXAHATCHEE,FLORIDA,33470,PALM BEACH,12099.0,Power Plants,7412065,8120212,9050828,7854917,5180057
1114,1.10E+11,FPL - RIVIERA POWER PLANT,2177.0,384.0,26.7653,-80.0528,200-300 BROADWAY,RIVIERA BEACH,FLORIDA,33404,PALM BEACH,12099.0,Power Plants,1793904,0,0,0,0
1124,1.10E+11,DUKE ENERGY FLORIDA INC-PL BARTOW POWER PLANT,2057.0,253.0,27.862009000000004,-82.601185,1601 WEEDON ISLAND DR,SAINT PETERSBURG,FLORIDA,33702,PINELLAS,12103.0,Power Plants,2864474,2845764,2791846,3030379,2870108
1127,1.10E+11,MOSAIC FERTILIZER LLC-NEW WALES PLANT,92.0,1346.0,27.834363,-82.049256,3095 COUNTY RD 640 W,MULBERRY,FLORIDA,338601100,POLK,12105.0,Chemicals,277743,264276,253409,282647,295040
1128,1.10E+11,CD MCINTOSH JR POWER PLANT,267.0,539.0,28.08403,-81.928387,3030 E LAKE PARKER DR,LAKELAND,FLORIDA,33805,POLK,12105.0,Power Plants,1211144,2257078,2330879,2340500,2272506
1129,1.10E+11,MOSAIC FERTILIZER LLC-BARTOW,464.0,1984.0,27.89457,-81.92070799999999,3200 HWY 60 W,BARTOW,FLORIDA,33830,POLK,12105.0,Chemicals,143576,127563,132293,136823,137054
1130,1.10E+11,TAMPA ELECTRIC CO POLK POWER STATION,693.0,456.0,27.727015,-81.989774,9995 STATE RD 37 S,MULBERRY,FLORIDA,33860,POLK,12105.0,Power Plants,1471605,1348447,1363770,1636651,1622248
1131,1.10E+11,MOSAIC FERTILIZER LLC-SOUTH PIERCE PLANT,2832.0,6891.0,27.766659000000004,-81.38016999999999,7450 COUNTY RD 630,MULBERRY,FLORIDA,338601100,POLK,12105.0,Chemicals,4191,5742,3376,425,498
1132,1.10E+11,CITRUS WORLD INC FLORIDA'S NATURAL GROWERS LAKE WALES DIV,3409.0,3818.0,27.911990000000003,-81.601615,20205 US HWY 27,LAKE WALES,FLORIDA,33853,POLK,12105.0,Other,53474,62390,60977,76840,76737
1145,1.10E+11,SEMINOLE GENERATING STATION,205.0,93.0,29.733333000000002,-81.633333,890 N US HWY 17,PALATKA,FLORIDA,321770000,PUTNAM,12107.0,Power Plants,7175472,6981111,6888457,7952084,8566073
1146,1.10E+11,GEORGIA-PACIFIC CONSUMER OPERATIONS LLC,220.0,1179.0,29.681083,-81.680217,215 COUNTY RD 216,PALATKA,FLORIDA,32177,PUTNAM,12107.0,"Pulp and Paper,Waste",362408,362699,381130,393837,351845
1147,1.10E+11,LAFARGE NORTH AMERICA,9645.0,3004.0,29.744193,-81.642583,886 N HWY 17,PALATKA,FLORIDA,32177,PUTNAM,12107.0,Minerals,76942,74927,64978,57437,54123
1151,1.10E+11,TAMINCO US INC,1103.0,3784.0,30.603559999999998,-87.13305,4575 HIGHWAY 90 EAST,PACE,FLORIDA,325712043,SANTA ROSA,12113.0,Chemicals,54056,56621,39027,50982,59320
1160,1.10E+11,TROPICANA MANUFACTURING CO INC,1867.0,5830.0,27.376920000000002,-80.38982,6500 GLADES CUT OFF RD,FORT PIERCE,FLORIDA,34981,ST LUCIE,12111.0,Other,25526,30672,28619,27569,21664
1162,1.10E+11,"AMERICAN CEMENT COMPANY, LLC",10190.0,1018.0,28.760864,-82.02535300000001,4750 E CR 470,SUMTERVILLE,FLORIDA,33585,SUMTER,12119.0,Minerals,476575,420079,354646,270970,275911
1163,1.10E+11,SUWANNEE AMERICAN CEMENT,1325.0,1036.0,29.9616,-82.8497,5117  US HIGHWAY 27,BRANFORD,FLORIDA,32008,SUWANNEE,12121.0,Minerals,457061,360134,285832,246344,300894
1165,1.10E+11,FOLEY CELLULOSE LLC,117.0,1299.0,30.068694,-83.52375,1 BUCKEYE DR,PERRY,FLORIDA,323487702,TAYLOR,12123.0,"Pulp and Paper,Waste",301180,292397,337285,339982,198407
1175,1.10E+11,BOWEN STEAM ELECTRIC GENERATING PLANT,129.0,7.0,34.125556,-84.919167,317 COVERED BRIDGE RD,CARTERSVILLE,GEORGIA,30120,BARTOW,13015.0,Power Plants,15642273,12120705,9635754,15051886,21031954
1176,1.10E+11,GERDAU AMERISTEEL CARTERSVILLE STEEL MILL,2314.0,2926.0,34.242779,-84.797775,384 OLD GRASSDALE RD NE,CARTERSVILLE,GEORGIA,30121,BARTOW,13015.0,Metals,79497,72144,84943,89119,94591
1177,1.10E+11,ANHEUSER-BUSCH LLC CARTERSVI LLE BREWERY,3419.0,5790.0,34.25393,-84.78730999999999,100 B US CH DR,CARTERSVILLE,GEORGIA,30121,BARTOW,13015.0,Other,25875,30972,32203,31384,32474
1179,1.10E+11,GRAPHIC PACKAGING MACON MILL,139.0,2283.0,32.79464,-83.64310400000001,100 GRAPHIC PACKAGING INTERNATIONAL WAY,MACON,GEORGIA,31206,BIBB,13021.0,"Pulp and Paper,Waste",114014,145073,183856,218484,250625
1180,1.10E+11,ARMSTRONG WORLD INDUSTRIES INC,1377.0,2933.0,32.774761,-83.651605,4520 BROADWAY,MACON,GEORGIA,31206,BIBB,13021.0,Other,79336,80860,86590,104340,92627
1184,1.10E+11,SOUTHWIRE CO,4423.0,5148.0,33.567141,-85.072365,1 SOUTHWIRE DR,CARROLLTON,GEORGIA,301190001,CARROLL,13045.0,Other,32200,33246,32163,31100,33349
1187,1.10E+11,INTERNATIONAL PAPER CO - SAVANNAH COMPLEX,120.0,925.0,32.10472,-81.12056,1201 W LATHROP AVE,SAVANNAH,GEORGIA,31415,CHATHAM,13051.0,Pulp and Paper,572778,543915,572549,625917,648276
1188,1.10E+11,WEYERHAEUSER PORT WENTWORTH,233.0,3242.0,32.15744,-81.16273000000001,1 BONNY BRIDGE ROAD,PORT WENTWORTH,GEORGIA,31407,CHATHAM,13051.0,Pulp and Paper,68702,70481,88382,78324,78965
1189,1.10E+11,BASF CORP-SAVANNAH OPERATIONS,298.0,3678.0,32.078610999999995,-81.05444399999999,1800 E PRESIDENT ST,SAVANNAH,GEORGIA,31404,CHATHAM,13051.0,Minerals,56423,56018,52153,48045,47862
1190,1.10E+11,KRAFT STEAM ELECTRIC GENERATING PLANT,492.0,830.0,32.149444,-81.145139,110 CROSSGATE ROAD,PORT WENTWORTH,GEORGIA,31407,CHATHAM,13051.0,Power Plants,676984,674068,468297,567810,999540
1191,1.10E+11,ARIZONA CHEMICAL CO.,3604.0,3554.0,32.10472,-81.12056,1201 W LATHROP AVE,SAVANNAH,GEORGIA,31415,CHATHAM,13051.0,Other,59356,64806,60084,52359,60020
1192,1.10E+11,NUSTAR ASPHALT REFINING LLC,8390.0,6621.0,32.10967,-81.128,7 FOUNDATION DR,SAVANNAH,GEORGIA,31408,CHATHAM,13051.0,Petroleum and Natural Gas Systems,10520,8105,22031,28331,40852
1197,1.10E+11,MOUNT VERNON MILLS INC APPAREL FABRICS DIV,5309.0,1628.0,34.5455,-85.311944,91 FOURTH ST,TRION,GEORGIA,307530007,CHATTOOGA,13055.0,Other,197735,142976,141504,156371,175140
1200,1.10E+11,CERTAINTEED CORP,1542.0,5056.0,33.978555,-83.338351,425 ATHENA DR,ATHENS,GEORGIA,30601,CLARKE,13059.0,Minerals,33298,35393,31584,35794,37101
1205,1.10E+11,MCDONOUGH/ATKINSON STEAM ELECTRIC GENERATING PLANT,509.0,108.0,33.822806,-84.47569399999999,5551 S COBB DR,SMYRNA,GEORGIA,30080,COBB,13067.0,Power Plants,6315754,6644011,4692925,2127045,2068244
1206,1.10E+11,CARAUSTAR MILL GROUP INC AUSTELL BOXBOARD MILLS,1640.0,2416.0,33.817703,-84.647,3400 JOE JERKINS BLVD,AUSTELL,GEORGIA,301063227,COBB,13067.0,Pulp and Paper,104085,104129,96138,98721,113250
1208,1.10E+11,YATES STEAM ELECTRIC GENERATING PLANT,308.0,762.0,33.462503000000005,-84.89855,708 DYER RD,NEWNAN,GEORGIA,30263,COWETA,13077.0,Power Plants,759662,1722636,2416613,4272961,5575337
1212,1.10E+11,BASF CORP ATTAPULGUS OPS,21.0,2537.0,30.738055,-84.49394000000001,141 ENGELHARD RD,ATTAPULGUS,GEORGIA,39815,DECATUR,13087.0,Minerals,98273,102978,88842,99936,94402
1215,1.10E+11,MITCHELL STEAM ELECTRIC GENERATING PLANT,1744.0,2895.0,31.44375,-84.13691700000001,5200 RADIUM SPRINGS RD,ALBANY,GEORGIA,31705,DOUGHERTY,13095.0,Power Plants,80835,11205,3559,59138,120069
1216,1.10E+11,MILLERCOORS LLC,2095.0,3067.0,31.5933,-84.08805,405 CORDELE RD,ALBANY,GEORGIA,31705,DOUGHERTY,13095.0,Other,74720,81651,86812,90894,90624
1217,1.10E+11,THE PROCTER & GAMBLE PAPER PRODUCTS CO,12336.0,1859.0,31.55273,-84.11474,512 LIBERTY EXPRESSWAY SE,ALBANY,GEORGIA,31705,DOUGHERTY,13095.0,Pulp and Paper,159367,181458,166264,166162,184987
1219,1.10E+11,GEORGIA PACIFIC CEDAR SPRINGS LLC,130.0,664.0,31.167509999999996,-85.09408,12551 GA HWY 273,CEDAR SPRINGS,GEORGIA,39832,EARLY,13099.0,"Pulp and Paper,Waste",916989,783692,831647,852451,695684
1220,1.10E+11,MCINTOSH ELECTRIC GENERATING PLANT,302.0,1210.0,32.355833000000004,-81.16833299999999,981 OLD AUG US TA RD CENTRAL PO BOX 2507,RINCON,GEORGIA,31326,EFFINGHAM,13103.0,Power Plants,351598,97067,23584,91973,307513
1221,1.10E+11,GEORGIA-PACIFIC CONSUMER PRODUCTS LP - SAVANNAH RIVER MILL,715.0,674.0,32.33113,-81.20178,437 OLD AUGUSTA RD S,RINCON,GEORGIA,31326,EFFINGHAM,13103.0,"Pulp and Paper,Waste",898508,951522,1108951,1258442,1016712
1224,1.10E+11,TEMPLE-INLAND ROME LINERBOARD MILL,48.0,1169.0,34.253479,-85.329027,238 MAYS BRIDGE RD,ROME,GEORGIA,30165,FLOYD,13115.0,"Pulp and Paper,Waste",368378,373800,418856,441561,429369
1225,1.10E+11,HAMMOND STEAM ELECTRIC GENERATING PLANT,583.0,531.0,34.250361,-85.345389,5963 ALABAMA HIGHWAY,ROME,GEORGIA,30165,FLOYD,13115.0,Power Plants,1235821,972255,1596224,3180355,3018848
1227,1.10E+11,AMERICAN PROTEINS/CUMMING,3337.0,3405.0,34.282332000000004,-84.05658199999999,4990 LELAND DR,CUMMING,GEORGIA,30041,FORSYTH,13117.0,"Other,Waste",63521,63296,64777,62927,55594
1228,1.10E+11,OWENS-BROCKWAY GLASS CONTAINER INC PLANT #10,8446.0,2694.0,33.66942,-84.41906,3107 SYLVAN RD,ATLANTA,GEORGIA,30354,FULTON,13121.0,Minerals,89198,90370,89479,72728,62604
1233,1.10E+11,GP CELLULOSE,183.0,1326.0,31.18115,-81.51321999999999,1400 9TH ST,BRUNSWICK,GEORGIA,31520,GLYNN,13127.0,"Pulp and Paper,Waste",288826,259203,366805,380604,237348
1235,1.10E+11,NOVELIS CORP-GREENSBORO,2244.0,5202.0,33.560155,-83.197643,1261 WILLOW RUN RD,GREENSBORO,GEORGIA,30642,GREENE,13133.0,Metals,31726,32206,36304,35396,34160
1240,1.10E+11,CARGILL GAINESVILLE,1801.0,2987.0,34.29015,-83.80998000000001,862 W RIDGE RD,GAINESVILLE,GEORGIA,30501,HALL,13139.0,Other,77295,85616,76776,79181,82944
1244,1.10E+11,WANSLEY STEAM ELECTRIC GENERATING,218.0,147.0,33.4131,-85.0336,1371 LIBERTY CHURCH RD,CARROLLTON,GEORGIA,30116,HEARD,13149.0,Power Plants,4879400,2060668,4842334,9988362,10756514
1250,1.10E+11,MID-GEORGIA COGEN,6746.0,2438.0,32.48516,-83.60412,200 OAKY WOODS RD,KATHLEEN,GEORGIA,31047,HOUSTON,13153.0,Power Plants,102861,47847,185773,123406,90690
1251,1.10E+11,ANCHOR GLASS CONTAINER CORPORATION-WARNER ROBINS,9699.0,2469.0,32.589663,-83.59587900000001,1044 BOOTH RD,WARNER ROBINS,GEORGIA,31088,HOUSTON,13153.0,Minerals,101463,95669,99053,101513,106537
1252,1.10E+11,CEMEX SOUTHEAST LLC-CLINCHFIELD CEMENT PLANT,10126.0,1264.0,32.4152,-83.6333,2720 HIGHWAY 341 SOUTH,CLINCHFIELD,GEORGIA,31013,HOUSTON,13153.0,Minerals,320736,339831,356909,338807,303519
1259,1.10E+11,SP NEWSPRINT CO LLC,417.0,1248.0,32.504129,-82.844859,709 PAPERMILL RD,DUBLIN,GEORGIA,31027,LAURENS,13175.0,"Pulp and Paper,Waste",332180,351345,149342,311529,316191
1260,1.10E+11,SNF - RICEBORO (CHEMTALL INCORPORATED),480.0,3599.0,31.74413,-81.43673000000001,CHEMICAL PLANT RD,RICEBORO,GEORGIA,31323,LIBERTY,13179.0,Chemicals,58323,72696,67592,66297,66648
1261,1.10E+11,INTERSTATE PAPER LLC,521.0,2697.0,31.741994000000002,-81.40669,2366 INTERSTATE PAPER RD,RICEBORO,GEORGIA,31323,LIBERTY,13179.0,"Pulp and Paper,Waste",89056,37786,43893,56900,41003
1263,1.10E+11,PACKAGING CORP. OF AMERICA,85.0,1637.0,30.6949,-83.30442,5495 LAKE PARK CLYATTVILLE RD,CLYATTVILLE,GEORGIA,31601,LOWNDES,13185.0,"Pulp and Paper,Waste",196698,192178,172185,187583,80521
1265,1.10E+11,WEYERHAEUSER NR COMPANY - FLINT RIVER OPERATIONS,134.0,1902.0,32.2531,-84.0691,2449 STAGECOACH RD,OGLETHORPE,GEORGIA,31068,MACON,13193.0,"Pulp and Paper,Waste",152197,148636,163055,169868,81992
1270,1.10E+11,SCHERER STEAM ELECTRIC GENERATING PLANT,880.0,1.0,33.0613,-83.8066,10986 GA HIGHWAY 87,JULIETTE,GEORGIA,31046,MONROE,13207.0,Power Plants,20482460,22293328,21815562,22073646,22985003
1280,1.10E+11,BRANCH STEAM ELECTRIC GENERATING PLANT,42.0,291.0,33.1944,-83.2996,1100 MILLEDGEVILLE RD,MILLEDGEVILLE,GEORGIA,31061,PUTNAM,13237.0,Power Plants,2511106,2748202,2157524,5360118,5578426
1281,1.10E+11,GEORGIA FEED PRODUCTS CO,4332.0,2767.0,31.77072,-84.734364,82 GEORGIA FEED DR,CUTHBERT,GEORGIA,398400528,RANDOLPH,13243.0,Other,85144,77844,83996,80893,71077
1282,1.10E+11,PCS NITROGEN FERTILIZER LP,8.0,342.0,33.446119,-81.93124399999999,1460 COLUMBIA NITROGEN DR,AUGUSTA,GEORGIA,30901,RICHMOND,13245.0,"Chemicals,Suppliers of CO2",2090458,2046500,1724206,1899221,1946005
1283,1.10E+11,INTERNATIONAL PAPER AUGUSTA MILL,59.0,1244.0,33.327581,-81.954059,4278 MIKE PADGETT HIGHWAY,AUGUSTA,GEORGIA,309069784,RICHMOND,13245.0,"Pulp and Paper,Waste",333409,364145,435110,525009,473703
1284,1.10E+11,DSM CHEMICALS NORTH AMERICA,1268.0,1061.0,33.441359999999996,-81.93123,1 COLUMBIA NITROGEN DR,AUGUSTA,GEORGIA,30901,RICHMOND,13245.0,"Chemicals,Suppliers of CO2",438207,454926,437308,471831,471557
1285,1.10E+11,SOLVAY SPECIALTY POLYMERS USA LLC,1658.0,5335.0,33.37014,-82.01400600000001,3702 CLANTON RD,AUGUSTA,GEORGIA,30906,RICHMOND,13245.0,Other,30226,28734,28472,26721,33147
1288,1.10E+11,VISY PAPER INC,5755.0,5392.0,33.660270000000004,-83.98889,1800 SARASOTA BUS PKWY,CONYERS,GEORGIA,30013,ROCKDALE,13247.0,Pulp and Paper,29641,17147,11000,11226,19264
1310,1.10E+11,RAYONIER PERFORMANCE FIBERS JESUP MILL,16.0,1695.0,31.660629999999998,-81.84862,4470 SAVANNAH HWY,JESUP,GEORGIA,31545,WAYNE,13305.0,Pulp and Paper,184703,153640,184103,178387,174491
1312,1.10E+11,ALADDIN MILLS-ANTIOCH RD PLANT,5358.0,4327.0,34.73559,-84.94996,2001 ANTIOCH RD,DALTON,GEORGIA,30720,WHITFIELD,13313.0,Other,44146,52680,48366,54614,50319
1318,1.10E+11,CARBO CERAMICS INC. - TOOMSBORO PLANT,632.0,1701.0,32.854436,-83.14082900000001,1880 DENT RD,TOOMSBORO,GEORGIA,31090,WILKINSON,13319.0,Other,183893,183983,164806,149999,88796
1319,1.10E+11,CARBO CERAMICS INC - MCINTYRE FACILITY,2116.0,3289.0,32.847713,-83.16582,2295 WRILEY RD,MC INTYRE,GEORGIA,31054,WILKINSON,13319.0,Other,67163,69032,67110,64911,59587
1325,1.10E+11,HELCO KANOELEHUA HILL GENERATING STATION,935.0,1765.0,19.70467,-155.06314,54 HALEKAUILA ST,HILO,HAWAII,96720,HAWAII,15001.0,Power Plants,171960,172480,173366,193041,202106
1326,1.10E+11,HELCO PUNA GENERATING STATION,1994.0,3968.0,19.631375,-155.03169,PUNA MILL RD,KEAAU,HAWAII,96749,HAWAII,15001.0,Power Plants,50243,88929,81319,87333,90438
1327,1.10E+11,HAMAKUA ENERGY PLANT,6113.0,2398.0,20.094082999999998,-155.471028,45-300 LEHUA ST,HONOKAA,HAWAII,96727,HAWAII,15001.0,Power Plants,105572,95907,140198,126879,165992
1328,1.10E+11,KEAHOLE,9016.0,1567.0,19.720814999999998,-156.032477,73-4249 PUKIAWE ST,KAILUA KONA,HAWAII,96740,HAWAII,15001.0,Power Plants,210674,186753,154729,179883,173623
1330,1.10E+11,HAWAIIAN ELECTRIC CO INC KAHE GENERATING STATION,387.0,333.0,21.355052,-158.125764,92-200 FARRINGTON HWY,KAPOLEI,HAWAII,96707,HONOLULU,15003.0,Power Plants,2132492,2218544,2407164,2634175,2518411
1331,1.10E+11,CHEVRON PRODUCTS CO-HAWAII REFINERY,606.0,964.0,21.309854,-158.111997,91-480 MALAKOLE ST,KAPOLEI,HAWAII,96707,HONOLULU,15003.0,"Chemicals,Refineries,Suppliers of CO2",536124,462621,568194,560159,529748
1332,1.10E+11,HAWAIIAN ELECTRIC CO INC WAIAU GENERATING STATION,687.0,683.0,21.390206,-157.961453,475 KAMEHAMEHA HIGHWAY,PEARL CITY,HAWAII,96782,HONOLULU,15003.0,Power Plants,882924,861901,862826,876051,974642
1333,1.10E+11,TESORO HAWAII REFINERY,962.0,938.0,21.304371,-158.0937,91-325 KOMOHANA ST,KAPOLEI,HAWAII,967071713,HONOLULU,15003.0,"Chemicals,Refineries",560169,334780,520936,578300,564190
1334,1.10E+11,AES HAWAII INC,1669.0,509.0,21.306110999999998,-158.108056,91-086 KAOMI LOOP,KAPOLEI,HAWAII,96707,HONOLULU,15003.0,Power Plants,1317081,1183570,1320101,1251183,1099470
1335,1.10E+11,KALAELOA COGENERATION PLANT,8799.0,665.0,21.301354999999997,-158.09729,91-111 KALAELOA BLVD,KAPOLEI,HAWAII,96707,HONOLULU,15003.0,Power Plants,915443,961976,913639,992376,953479
1343,1.10E+11,KAPAIA POWER STATION,2628.0,2148.0,22.028199,-159.382044,4941-K MAALO RD,LIHUE,HAWAII,96766,KAUAI,15007.0,Power Plants,125362,121093,126140,121286,126826
1344,1.10E+11,PORT ALLEN GENERATING STATION,6095.0,2144.0,21.89975,-159.583667,261 AKAULA ST,ELEELE,HAWAII,96705,KAUAI,15007.0,Power Plants,125971,144663,142840,154536,147610
1346,1.10E+11,MAUI ELECTRIC CO LTD KAHULUI GENERATING STATION,985.0,2018.0,20.896179999999998,-156.46367,200 HOBRON AVE,KAHULUI,HAWAII,96732,MAUI,15009.0,Power Plants,139849,133411,177808,191208,209414
1347,1.10E+11,MAUI ELECTRIC CO LTD MAALAEA GENERATING STATION,1340.0,1030.0,20.801363000000002,-156.49268999999998,1000 N KIHEI RD,KIHEI,HAWAII,96753,MAUI,15009.0,Power Plants,462576,492337,521855,548479,562012
1348,1.10E+11,MAUI ELECTRIC CO LTD PALAAU GENERATING STATION,10594.0,5969.0,21.105933,-157.06419,32 ULILI ST,KAUNAKAKAI,HAWAII,96748,MAUI,15009.0,Power Plants,24035,24172,24576,25079,25615
1351,1.10E+11,POET BIOREFINING-CORNING,4066.0,2354.0,40.965933,-94.79505999999999,1680 BROOKS RD,CORNING,IOWA,50841,ADAMS,19003.0,Other,108014,99948,99701,106207,103703
1352,1.10E+11,LANSING POWER STATION,982.0,477.0,43.3363,-91.1669,2320 POWER PLANT DR,LANSING,IOWA,52151,ALLAMAKEE,19005.0,Power Plants,1431918,1067921,1270757,1538958,1345950
1354,1.10E+11,JOHN DEERE WATERLOO WORKS DRIVETRAIN OPERATIONS & FOUNDRY,1706.0,4183.0,42.498546000000005,-92.352049,300 W COMMERCIAL ST,WATERLOO,IOWA,50701,BLACK HAWK,19013.0,Other,46430,44526,34739,35541,34563
1355,1.10E+11,TYSON FRESH MEATS INC,3288.0,5227.0,42.50822,-92.26236999999999,501 N ELK RUN RD,WATERLOO,IOWA,50703,BLACK HAWK,19013.0,Other,31489,31861,30614,32656,35067
1361,1.10E+11,FLINT HILLS RESOURCES FAIRBANK LLC,2542.0,1800.0,42.64058,-92.0268,1277 102ND ST,FAIRBANK,IOWA,50629,BUCHANAN,19019.0,"Other,Waste",166653,159369,157510,152155,170609
1362,1.10E+11,TYSON FRESH MEATS INC,2429.0,5709.0,42.64,-95.1875,1009 RICHLAND ST,STORM LAKE,IOWA,50588,BUENA VISTA,19021.0,Other,26722,25883,25443,25825,25690
1363,1.10E+11,VALERO RENEWABLE FUELS ALBERT CITY,2560.0,1790.0,42.775376,-94.942166,2356 510TH ST,ALBERT CITY,IOWA,50510,BUENA VISTA,19021.0,Other,168845,175373,163147,175099,172397
1364,1.10E+11,"FLINT HILLS RESOURCES SHELL ROCK, LLC.",2135.0,1914.0,42.710253,-92.58296700000001,30750 212TH ST,SHELL ROCK,IOWA,50670,BUTLER,19023.0,"Other,Waste",151104,155696,161062,155586,173880
1366,1.10E+11,LEHIGH CEMENT CO LLC,3154.0,1278.0,43.1731,-93.2058,700 25TH ST,MASON CITY,IOWA,50401,CERRO GORDO,19033.0,Minerals,313698,320342,393650,347311,320083
1370,1.10E+11,LSCP L P DBA LITTLE SIOUX CORN PROCESSORS L P,2831.0,1919.0,42.82094,-95.75984,4808 F AVE,MARCUS,IOWA,51035,CHEROKEE,19035.0,Other,150705,158240,160173,158438,158176
1372,1.10E+11,CORN BELT POWER COOPERATIVE,10621.0,6364.0,43.16127,-95.2545,3365 165TH AVE,SPENCER,IOWA,51301,CLAY,19041.0,Power Plants,16629,87667,10804,24030,32146
1373,1.10E+11,EQUISTAR CHEMICALS CLINTON PL ANT,64.0,1045.0,41.807364,-90.295307,3400 ANAMOSA RD HWY 30 W,CLINTON,IOWA,52732,CLINTON,19045.0,Chemicals,451497,440072,514072,510947,510094
1374,1.10E+11,ADM CORN PROCESSING,450.0,322.0,41.818117,-90.214731,1251 BEAVER CHANNEL PARKWAY,CLINTON,IOWA,52732,CLINTON,19045.0,"Other,Waste",2272581,2188315,2010290,2061252,1510151
1375,1.10E+11,M L KAPP GENERATING STATION,1989.0,672.0,41.8082,-90.2335,2001 BEAVER CHANNEL PARKWAY,CLINTON,IOWA,52732,CLINTON,19045.0,Power Plants,902282,859295,631431,1005435,919059
1376,1.10E+11,GUARDIAN INDUSTRIES CORP,10313.0,2241.0,41.81333,-90.52444,300 S 5TH AVE E,DE WITT,IOWA,52742,CLINTON,19045.0,Minerals,117378,119913,120491,118278,116318
1378,1.10E+11,SMITHFIELD-DENISON,2010.0,3886.0,42.027778000000005,-95.359718,800 IND US TRIAL DR,DENISON,IOWA,51442,CRAWFORD,19047.0,"Other,Waste",52078,62737,65105,76260,26574
1379,1.10E+11,THE ANDERSONS DENISON ETHANOL LLC,11826.0,2771.0,41.98905,-95.39912,2404 W HWY 30,DENISON,IOWA,51442,CRAWFORD,19047.0,"Other,Waste",84942,89544,77498,80017,75782
1381,1.10E+11,"BIG RIVER UNITED ENERGY, LLC",2950.0,1720.0,42.484445,-91.12292099999999,3294 VINE RD,DYERSVILLE,IOWA,52040,DELAWARE,19055.0,"Other,Waste",177848,171908,146780,165049,168370
