,Unique ID,FacilityName,Rank_TRI_14,Rank_GHG_14,Latitude,Longitude,LocationAddress,City,Location,ZIP,County,FIPScode,IndustryType,GHG_Direct_Emissions_14_in_metric_tons,GHG_Direct_Emissions_13_in_metric_tons,GHG_Direct_Emissions_12_in_metric_tons,GHG_Direct_Emissions_11_in_metric_tons,GHG_Direct_Emissions_10_in_metric_tons
425,1.10E+11,PPG INDUSTRIES INCORPORATED,13412.0,2654.0,36.699721999999994,-119.716944,3333 PEACH STREET,FRESNO,CALIFORNIA,93725,FRESNO,6019.0,Minerals,91508,87027,84318,98156,93595
440,1.10E+11,PG&E HUMBOLDT BAY POWER PLANT,2530.0,1834.0,40.740066,-124.21267399999999,1000 KING SALMON AVE,EUREKA,CALIFORNIA,955036859,HUMBOLDT,6023.0,Power Plants,162619,163576,193164,216648,336567
442,1.10E+11,SPRECKELS SUGAR CO INC,1207.0,3013.0,32.9098,-115.5668,395 W KEYSTONE RD,BRAWLEY,CALIFORNIA,92227,IMPERIAL,6025.0,Minerals,76674,78613,81740,106054,106833
443,1.10E+11,NATIONAL BEEF COMPANY,5166.0,6595.0,32.99589,-115.52,57 E SHANK RD,BRAWLEY,CALIFORNIA,92227,IMPERIAL,6025.0,Other,11251,24752,21376,23249,26879
447,1.10E+11,CALPORTLAND CO MOJAVE PLANT,1456.0,603.0,35.029298,-118.316236,9350 OAK CREEK RD,MOJAVE,CALIFORNIA,93501,KERN,6029.0,Minerals,1033354,941887,1111565,1045416,1006241
448,1.10E+11,FRITO LAY INC,2749.0,4035.0,35.398111,-119.255371,22801 HIGHWAY 58,BAKERSFIELD,CALIFORNIA,93314,KERN,6029.0,Other,48820,48263,47882,47083,48965
449,1.10E+11,RIO BRAVO POSO,3166.0,1882.0,35.547408000000004,-119.07522,16608 PORTERVILLE HIGHWAY,BAKERSFIELD,CALIFORNIA,93308,KERN,6029.0,Power Plants,155139,147900,153506,275544,346115
450,1.10E+11,WM BOLTHOUSE FARMS INC,4410.0,4915.0,35.35431,-118.92546000000002,7200 E BRUNDAGE LN,BAKERSFIELD,CALIFORNIA,933073016,KERN,6029.0,Other,35362,33813,29247,25532,27409
451,1.10E+11,KERN OIL & REFINING CO,5041.0,2252.0,35.295278,-118.92111100000001,7724 E PANAMA LN,BAKERSFIELD,CALIFORNIA,933079210,KERN,6029.0,"Petroleum Product Suppliers,Refineries",116572,170964,143643,130577,155640
452,1.10E+11,RIO BRAVO JASMIN,5944.0,2540.0,35.74414,-119.05521,11258 PORTERVILLE HWY,BAKERSFIELD,CALIFORNIA,93308,KERN,6029.0,Power Plants,98231,90484,219050,356206,333455
453,1.10E+11,LEHIGH SOUTHWEST CEMENT CO,6823.0,870.0,35.121031,-118.367775,13573 E TEHACHAPI BLVD,TEHACHAPI,CALIFORNIA,935618156,KERN,6029.0,Minerals,629906,468607,543582,555623,410192
454,1.10E+11,PARAMOUNT BAKERSFIELD REFINERY,6958.0,6339.0,35.3825,-119.07055600000001,6451 ROSEDALE HWY,BAKERSFIELD,CALIFORNIA,93308,KERN,6029.0,Refineries,17055,35315,152668,156275,43296
455,1.10E+11,JG BOSWELL TOMATO CO - KERN LLC,7897.0,4258.0,35.398920000000004,-119.41218,36889 HWY 58,BUTTONWILLOW,CALIFORNIA,93206,KERN,6029.0,Other,45240,32683,37754,34189,44579
456,1.10E+11,NATIONAL CEMENT CO OF CALIFORNIA INC,9300.0,877.0,34.82263,-118.752222,5 MILES E OF I-5  OFF HWY 138,LEBEC,CALIFORNIA,93243,KERN,6029.0,Minerals,623675,551013,463720,384310,370255
458,93308WTCCRCORNE,TRICOR REFINING LLC,14314.0,6374.0,35.4185,-119.0112,1134 MANOR ST,BAKERSFIELD,CALIFORNIA,93308,KERN,6029.0,Refineries,16453,15412,3268,3512,4477
505,1.10E+11,JG BOSWELL TOMATO CO - KINGS LLC,6423.0,4341.0,36.066859,-119.571982,27905 DAIRY AVE,CORCORAN,CALIFORNIA,93212,KINGS,6031.0,Other,43908,39455,38899,35194,42281
506,1.10E+11,"CWMI, KHF (MSW LANDFILL B-19)",6615.0,4397.0,35.95943,-120.00865,35251 OLD SKYLINE RD,KETTLEMAN CITY,CALIFORNIA,932390471,KINGS,6031.0,Waste,43040,59536,44841,51655,52958
507,1.10E+11,LEPRINO FOODS CO,8172.0,3885.0,36.300277,-119.812775,351 N BELLE HAVEN,LEMOORE,CALIFORNIA,932459247,KINGS,6031.0,Other,52080,51778,49407,50038,47522
